id,tag,ticket_aereo_id,vuelo_id,estado
1,BAG00000001,1,1,ENTREGADO
2,BAG00000002,1,1,REGISTRADO
3,BAG00000003,2,1,EN_TRANSITO
4,BAG00000004,4,1,REGISTRADO
5,BAG00000005,5,1,REGISTRADO
6,BAG00000006,5,1,ENTREGADO
7,BAG00000007,6,1,PERDIDO
8,BAG00000008,7,1,ENTREGADO
9,BAG00000009,9,1,ENTREGADO
10,BAG00000010,9,1,CARGADO
11,BAG00000011,10,1,ENTREGADO
12,BAG00000012,14,1,EN_TRANSITO
13,BAG00000013,14,1,ENTREGADO
14,BAG00000014,15,1,ENTREGADO
15,BAG00000015,17,1,REGISTRADO
16,BAG00000016,18,1,REGISTRADO
17,BAG00000017,19,1,ENTREGADO
18,BAG00000018,20,1,EN_TRANSITO
19,BAG00000019,20,1,ENTREGADO
20,BAG00000020,21,1,CARGADO
21,BAG00000021,22,1,REGISTRADO
22,BAG00000022,22,1,ENTREGADO
23,BAG00000023,23,1,CARGADO
24,BAG00000024,25,1,EN_TRANSITO
25,BAG00000025,28,1,ENTREGADO
26,BAG00000026,28,1,CARGADO
27,BAG00000027,29,1,ENTREGADO
28,BAG00000028,30,1,ENTREGADO
29,BAG00000029,30,1,EN_TRANSITO
30,BAG00000030,32,1,ENTREGADO
31,BAG00000031,32,1,REGISTRADO
32,BAG00000032,33,1,EN_TRANSITO
33,BAG00000033,35,1,CARGADO
34,BAG00000034,37,1,CARGADO
35,BAG00000035,37,1,EN_TRANSITO
36,BAG00000036,38,1,REGISTRADO
37,BAG00000037,39,1,ENTREGADO
38,BAG00000038,39,1,EN_TRANSITO
39,BAG00000039,40,1,ENTREGADO
40,BAG00000040,40,1,EN_TRANSITO
41,BAG00000041,41,1,EN_TRANSITO
42,BAG00000042,41,1,REGISTRADO
43,BAG00000043,42,1,CARGADO
44,BAG00000044,43,1,EN_TRANSITO
45,BAG00000045,43,1,CARGADO
46,BAG00000046,45,1,REGISTRADO
47,BAG00000047,46,1,CARGADO
48,BAG00000048,46,1,CARGADO
