id,ticket_aereo_id,codigo,emitido_en,validado
1,1,BP-718NJQ-00001,2025-11-12 03:24:54,1
2,2,BP-FXMT6K-00002,2025-11-13 09:24:54,1
3,3,BP-PGH8QZ-00003,2025-11-13 20:24:54,1
4,4,BP-LMB79U-00004,2025-11-14 00:24:54,1
5,5,BP-6U9B3T-00005,2025-11-11 14:24:54,1
6,6,BP-OXAGRP-00006,2025-11-11 16:24:54,1
7,7,BP-YL1TIM-00007,2025-11-11 14:24:54,1
8,9,BP-ZX50YX-00009,2025-11-13 09:24:54,1
9,10,BP-VLHA50-00010,2025-11-11 17:24:54,1
10,11,BP-WUG4UF-00011,2025-11-13 15:24:54,1
11,12,BP-57JW4S-00012,2025-11-11 21:24:54,1
12,13,BP-5UKS3Q-00013,2025-11-12 04:24:54,1
13,14,BP-H498PI-00014,2025-11-13 13:24:54,1
14,15,BP-7CN9AL-00015,2025-11-13 22:24:54,1
15,16,BP-7WH7RK-00016,2025-11-15 07:24:54,1
16,17,BP-WLBWYJ-00017,2025-11-13 02:24:54,1
17,18,BP-ZA18F2-00018,2025-11-11 08:24:54,1
18,20,BP-G2FT7W-00020,2025-11-12 00:24:54,1
19,21,BP-AZ55ZX-00021,2025-11-14 03:24:54,1
20,23,BP-OZEXVP-00023,2025-11-14 18:24:54,1
21,24,BP-HUAQR8-00024,2025-11-12 22:24:54,1
22,25,BP-J8D0IO-00025,2025-11-12 03:24:54,0
23,26,BP-JQ2PAF-00026,2025-11-13 20:24:54,1
24,27,BP-DDSRJM-00027,2025-11-14 09:24:54,1
25,28,BP-ML0BVZ-00028,2025-11-12 07:24:54,1
26,29,BP-YDIVAH-00029,2025-11-12 11:24:54,1
27,30,BP-GG52BG-00030,2025-11-13 11:24:54,0
28,31,BP-B5X6ZV-00031,2025-11-12 11:24:54,1
29,33,BP-NZ5FPM-00033,2025-11-14 19:24:54,1
30,34,BP-Y4H1FH-00034,2025-11-12 22:24:54,1
31,35,BP-GAREL4-00035,2025-11-14 01:24:54,0
32,36,BP-DYE50E-00036,2025-11-13 20:24:54,0
33,37,BP-VKFM55-00037,2025-11-12 18:24:54,1
34,38,BP-7PXUBD-00038,2025-11-12 13:24:54,1
35,39,BP-G4YWKS-00039,2025-11-13 10:24:54,1
36,40,BP-J37CZ1-00040,2025-11-14 17:24:54,1
37,41,BP-U5G6EN-00041,2025-11-13 12:24:54,0
38,42,BP-OJ8EL9-00042,2025-11-12 16:24:54,1
39,43,BP-1ZWQTU-00043,2025-11-14 06:24:54,1
40,44,BP-02U428-00044,2025-11-14 13:24:54,0
41,45,BP-16C6ZW-00045,2025-11-13 12:24:54,1
42,46,BP-ZWTB5O-00046,2025-11-12 02:24:54,1
43,47,BP-E5HVRA-00047,2025-11-14 14:24:54,1
44,48,BP-BRQCZ4-00048,2025-11-14 22:24:54,1
45,49,BP-XV0LAE-00049,2025-11-14 11:24:54,1
46,50,BP-J72FH5-00050,2025-11-12 13:24:54,1
47,51,BP-O9TG0R-00051,2025-11-14 02:24:54,1
48,52,BP-3S6TZ2-00052,2025-11-13 03:24:54,1
49,53,BP-SJ2W8Q-00053,2025-11-12 15:24:54,1
50,54,BP-94SK4P-00054,2025-11-12 20:24:54,0
51,55,BP-HAFZ4G-00055,2025-11-14 14:24:54,0
52,56,BP-M5CV0B-00056,2025-11-15 04:24:54,1
53,57,BP-EKGO54-00057,2025-11-14 15:24:54,0
54,58,BP-KY24HR-00058,2025-11-12 05:24:54,1
55,59,BP-K63OWO-00059,2025-11-14 18:24:54,1
56,60,BP-0P0T61-00060,2025-11-11 08:24:54,1
57,61,BP-73W5UD-00061,2025-11-15 03:24:54,1
58,62,BP-DUZ2HZ-00062,2025-11-14 22:24:54,1
59,63,BP-5UUGQH-00063,2025-11-13 05:24:54,1
60,64,BP-WKCY05-00064,2025-11-12 18:24:54,1
61,65,BP-417VC6-00065,2025-11-13 08:24:54,1
62,66,BP-SH6WCC-00066,2025-11-14 11:24:54,1
63,67,BP-5M309Y-00067,2025-11-13 13:24:54,1
64,68,BP-QKGVK9-00068,2025-11-12 20:24:54,1
