id,pnr,pasajero_id,vuelo_id,asiento,estado_ticket,fecha_emision
1,718NJQ,357,1,26E,CONFIRMADO,2025-10-23 02:24:53
2,FXMT6K,395,1,20D,EMITIDO,2025-10-22 20:24:53
3,PGH8QZ,437,1,2D,CONFIRMADO,2025-11-02 22:24:53
4,LMB79U,149,1,1A,CONFIRMADO,2025-11-09 22:24:53
5,6U9B3T,176,1,11F,CONFIRMADO,2025-10-25 22:24:53
6,OXAGRP,278,1,13A,CONFIRMADO,2025-10-25 06:24:53
7,YL1TIM,451,1,2C,CONFIRMADO,2025-10-29 12:24:53
8,EFT7UA,15,1,23B,CANCELADO,2025-11-02 08:24:53
9,ZX50YX,111,1,14D,EMITIDO,2025-11-10 22:24:53
10,VLHA50,462,1,8C,EMITIDO,2025-10-21 16:24:53
11,WUG4UF,461,1,4B,CONFIRMADO,2025-11-01 17:24:53
12,57JW4S,126,1,26F,CONFIRMADO,2025-11-05 14:24:53
13,5UKS3Q,330,1,24D,CONFIRMADO,2025-11-09 12:24:53
14,H498PI,347,1,15A,EMITIDO,2025-11-03 08:24:53
15,7CN9AL,262,1,22B,CONFIRMADO,2025-10-16 08:24:53
16,7WH7RK,7,1,16D,CONFIRMADO,2025-11-11 12:24:53
17,WLBWYJ,226,1,5D,EMITIDO,2025-10-15 21:24:53
18,ZA18F2,37,1,17E,CONFIRMADO,2025-10-17 14:24:53
19,8ATHI3,57,1,10E,CANCELADO,2025-11-02 15:24:53
20,G2FT7W,215,1,10F,CONFIRMADO,2025-10-16 03:24:53
21,AZ55ZX,434,1,6F,CONFIRMADO,2025-10-21 22:24:53
22,JM792J,123,1,4C,CANCELADO,2025-11-07 15:24:53
23,OZEXVP,301,1,10C,CONFIRMADO,2025-10-26 10:24:53
24,HUAQR8,186,1,1B,CONFIRMADO,2025-11-01 03:24:53
25,J8D0IO,237,1,17D,EMITIDO,2025-11-08 22:24:53
26,JQ2PAF,391,1,25F,CONFIRMADO,2025-10-16 15:24:53
27,DDSRJM,102,1,8B,CONFIRMADO,2025-10-16 05:24:53
28,ML0BVZ,158,1,7F,CONFIRMADO,2025-10-28 01:24:53
29,YDIVAH,374,1,24F,CONFIRMADO,2025-11-08 22:24:53
30,GG52BG,499,1,19B,EMITIDO,2025-10-25 23:24:53
31,B5X6ZV,179,1,11D,EMITIDO,2025-11-01 18:24:53
32,UGVMYG,341,1,9E,CANCELADO,2025-10-15 13:24:53
33,NZ5FPM,146,1,6D,CONFIRMADO,2025-10-17 16:24:53
34,Y4H1FH,387,1,24A,EMITIDO,2025-10-16 04:24:53
35,GAREL4,132,1,16B,EMITIDO,2025-10-25 14:24:53
36,DYE50E,170,1,16F,CONFIRMADO,2025-11-13 10:24:53
37,VKFM55,414,1,25A,EMITIDO,2025-11-05 23:24:53
38,7PXUBD,84,1,14B,CONFIRMADO,2025-10-27 22:24:53
39,G4YWKS,81,1,5B,CONFIRMADO,2025-10-31 07:24:53
