posicion,columna,tipo_completo,tipo_dato,long_max,precision_num,permite_null,valor_default,tipo_clave,extra,comentario
1,id,int,int,,10.0,NO,,PRI,auto_increment,
2,numero_vuelo,varchar(20),varchar,20.0,,NO,,MUL,,
3,fecha,date,date,,,NO,,MUL,,
4,hora_salida_programada,datetime,datetime,,,NO,,,,
5,llegada_programada,datetime,datetime,,,NO,,,,
6,aeronave_id,int,int,,10.0,NO,,MUL,,
7,aerolinea_id,int,int,,10.0,NO,,MUL,,
8,puerta_id,int,int,,10.0,YES,,MUL,,
9,aeropuerto_origen_id,int,int,,10.0,NO,,MUL,,
10,aeropuerto_destino_id,int,int,,10.0,NO,,MUL,,
11,capacidad_pasajeros,int,int,,10.0,NO,,,,
12,tiempo_embarque,datetime,datetime,,,YES,,,,
13,resultado,varchar(20),varchar,20.0,,YES,,,,
14,observacion,varchar(255),varchar,255.0,,YES,,,,
15,creado_en,datetime,datetime,,,NO,CURRENT_TIMESTAMP,,DEFAULT_GENERATED,
